Name	Target language	Type	Words	Participants	Availability
SVL12K	English	Self-assessed 5-point scale	12 000 from the SVL wordlist	16 L2Ls based in Japan	[Personal website](http://yoehara.com/esl-vocabulary-dataset/)
EVKD1	English	Multiple choice (4) definitions from word in context	100 from the XXX vocabulary size test	100 L2Ls mainly based in Japan	[Personal website](http://yoehara.com/EVKD1/) (currently broken; direct request via email)
TestYourVocab	English	Self-assessed yes/no	~90-160 per participant from bank of 616	>1 627 968 L1Ls, >5 772 534 L2Ls from around the word	Direct request via email
ECP (English Crowdsourcing Project)	English	Lexical decision	~300-1000 per participant from bank of 62 000	700 000	[Repository](https://osf.io/v25ek/)
ELP (English Lexicon Project)	English	Lexical decision	TODO	TODO	[Website](https://elexicon.wustl.edu/) [Tool (3rd party)](https://github.com/JackEdTaylor/read-elp] [Repository](https://osf.io/eu5ca/)
BLP (British Lexicon Project)	English	Lexical decision	TODO	TODO	[Departmental website](http://crr.ugent.be/blp/txt/)
FLP (French Lexicon Project)	French	Lexical decision	TODO	TODO	[Repository](https://osf.io/f8kc4/)
DCP (Dutch Crowdsourcing Project)	Dutch	Lexical decision	TODO	TODO	[Repository](https://osf.io/5fk8d/)
DLP (Dutch Lexicon Project)	Dutch	Leixcal decision	TODO	TODO	[Repository]()
DLP2 (Dutch Lexicon Project 2)	Dutch	Lexical decision	TODO	TODO	[Repository]()
SPALEX	Spanish	Lexical decision	TODO	TODO	[Repository](https://figshare.com/projects/SPALEX/29722)
WordBank (Collection of many studies)	Multiple	Multiple	MacArthur-Bates Communicative Development Inventory (MB-CDI)	Children; TODO	[Departmental website](http://wordbank.stanford.edu/) (accessed through public MySQL database, same as the [wordbankr](https://github.com/langcog/wordbankr) package)
